A,B,M,N,CURRENT,dV
1,2,3,4,1.0,-7.28155
1,2,4,5,1.0,-2.06945
1,2,5,6,1.0,-0.844893
1,2,6,7,1.0,-0.404851
1,2,7,8,1.0,-0.228988
1,2,8,9,1.0,-0.136229
1,2,9,11,1.0,-0.147238
1,2,11,14,1.0,-0.0985201
1,3,7,8,1.0,-0.636745
1,3,8,10,1.0,-0.593715
1,3,10,13,1.0,-0.327039
2,3,4,5,1.0,-7.31411
2,3,5,6,1.0,-2.07781
2,3,6,7,1.0,-0.837056
2,3,7,8,1.0,-0.41279
2,3,8,9,1.0,-0.22125
2,3,9,10,1.0,-0.139142
2,3,10,12,1.0,-0.148772
1,4,9,10,1.0,-0.458049
1,4,10,12,1.0,-0.476177
2,4,8,9,1.0,-0.641377
2,4,9,11,1.0,-0.584273
3,4,5,6,1.0,-7.42905
3,4,6,7,1.0,-2.08152
3,4,7,8,1.0,-0.843374
3,4,8,9,1.0,-0.414819
3,4,9,10,1.0,-0.226939
3,4,10,11,1.0,-0.136964
3,4,11,13,1.0,-0.14918
2,5,10,11,1.0,-0.441743
2,5,11,13,1.0,-0.474328
3,5,9,10,1.0,-0.647635
3,5,10,12,1.0,-0.590523
4,5,6,7,1.0,-7.34943
4,5,7,8,1.0,-2.04459
4,5,8,9,1.0,-0.841844
4,5,9,10,1.0,-0.412361
4,5,10,11,1.0,-0.220821
4,5,11,12,1.0,-0.135305
4,5,12,14,1.0,-0.150014
1,6,12,13,1.0,-0.358272
3,6,11,12,1.0,-0.452693
4,6,10,11,1.0,-0.628811
4,6,11,13,1.0,-0.588546
5,6,7,8,1.0,-7.14854
5,6,8,9,1.0,-2.04833
5,6,9,10,1.0,-0.839709
5,6,10,11,1.0,-0.403159
5,6,11,12,1.0,-0.225356
5,6,12,13,1.0,-0.136128
4,7,12,13,1.0,-0.445533
5,7,11,12,1.0,-0.642708
6,7,8,9,1.0,-7.37576
6,7,9,10,1.0,-2.09293
6,7,10,11,1.0,-0.833436
6,7,11,12,1.0,-0.405594
6,7,12,13,1.0,-0.223011
6,7,13,14,1.0,-0.137091
6,8,12,13,1.0,-0.638576
7,8,9,10,1.0,-7.21422
7,8,10,11,1.0,-2.03874
7,8,11,12,1.0,-0.841457
7,8,12,13,1.0,-0.411944
7,8,13,14,1.0,-0.227946
8,9,10,11,1.0,-7.37363
8,9,11,12,1.0,-2.05858
8,9,12,13,1.0,-0.850648
8,9,13,14,1.0,-0.412657
9,10,11,12,1.0,-7.21495
9,10,12,13,1.0,-2.07935
9,10,13,14,1.0,-0.819541
10,11,12,13,1.0,-7.32014
10,11,13,14,1.0,-2.03641
11,12,13,14,1.0,-7.4224
